"Cau_hoi","Dap_an","Embedding"
"Câu 1. Độ lớn của lực tương tác giữa hai điện tích điểm trong không khí A. tỉ lệ với bình phương khoảng cách giữa hai điện tích. B. tỉ lệ với khoảng cách giữa hai điện tích. C. tỉ lệ nghịch với khoảng cách giữa hai điện tích. D. tỉ lệ nghịch với bình phương khoảng cách giữa hai điện tích.","",""
"Câu 2. Lực tương tác giữa 2 điện tích điểm là lực đẩy. Dấu của q1 và q2 có thể là A. q1 > 0 và q2 < 0. B. q1 < 0 và q2 < 0. C. q1 < 0 và q2 > 0. D. Chưa xác định được","",""
"Câu 3. Tăng đồng thời độ lớn của hai điện tích điểm và khoảng cách giữa chúng lên 3 lần thì lực điện tác dụng giữa chúng A. tăng lên 3 lần. B. giảm đi 3 lần. C. giảm đi 9 lần. D. không đổi.","",""
"Câu 4. Hai điện tích điểm q1 = 5.10–6 (C); q2 = –5.10–6 (C) đặt cách nhau 5 (cm) trong chân không. Cho k=9.109 Nm2/C2. Tính lực tương tác giữa 2 điện tích.","",""
"Câu 5. Điện trường được tạo ra bởi điện tích, là dạng vật chất tồn tại quanh điện tích và: A. tác dụng lực lên mọi vật đặt trong nó. B. tác dụng lực điện lên mọi vật đặt trong nó. C. truyền lực cho các điện tích. D. truyền tương tác giữa các điện tích.","",""
"Câu 6. Cường độ điện trường có đơn vị: A. (V.m). B. (V/m). C. (V). D. (F).","",""
"Câu 7. Một điện tích điểm đặt trong chân không. Cường độ điện trường do điện tích gây ra tại một điểm cách một khoảng có phương là đường thẳng nối với và A. chiều hướng từ tới với độ lớn bằng . B. chiều hướng từ ra xa khỏi với độ lớn bằng . C. chiều hướng từ tới với độ lớn bằng . D. chiều hướng từ ra xa khỏi với độ lớn bằng .","",""
"Câu 8. Trong chân ko, đặt cố định một điện tích điểm Cho k=9.109 Nm2/C2. Tính cường độ điện trường tại một điểm cách một khoảng .","",""
"Câu 9. Đường sức điện của điện trường xung quanh 1điện tích điểm có dạng: A. những đường cong và đường thẳng có chiều đi vào điện tích . B. những đường thẳng có chiều đi vào điện tích . C. những đường cong và đường thẳng có chiều đi ra khỏi điện tích . D. những đường thẳng có chiều đi ra xa khỏi điện tích .","",""
"Câu 10. Đặc điểm nào sau đây không phải là đặc điểm của điện trường đều? A. cường độ điện trường có hướng như nhau tại mọi điểm. B. cường độ điện trường có độ lớn như nhau tại mọi điểm. C. cường độ điện trường có độ lớn giảm dần theo thời gian. D. đường sức điện là những đường thẳng song song, cách đều.","",""
"Câu 11. Nếu đặt êlectron vào điện trường đều có cường độ điện trường rồi thả nhẹ,","nó sẽ chuyển động: A. cùng chiều . B. vuông góc . C. theo 1đường cong. D. ngược chiều",""
"Câu 12. Cho hai bản kim loại phẳng đặt song song tích điện trái dấu, một êlectron bay vào điện trường giữa hai bản kim loại nói trên với vận tốc ban đầu . Bỏ qua tác dụng của trọng trường. Quỹ đạo của êlectron là gì?","Nếu vận tốc ban đầu vuông góc với các đường sức điện. Nếu vận tốc ban đầu song song với các đường sức điện.",""
"Câu 13. Phát biểu nào sau đây không phải đặc điểm của lực điện tác dụng lên một điện tích âm đặt trong điện trường đều? A. Điểm đặt tại điện tích điểm. B. Phương song song với các đường sức. C. cùng chiều với . D. Độ lớn F = qE.","",""
"Câu 14. Giữa 2 bản kim loại phẳng song song cách nhau 10cm có 1 hiệu điện thế không đổi 40 V. Cường độ điện trường ở khoảng giữa hai 2 kim loại là bao nhiêu?","",""
"Câu 15: Điền vào chỗ trống. Một êlectron đang chuyển động trong vùng điện trường nằm giữa hai bản kim loại phẳng nằm ngang, song song, tích điện trái dấu (bản âm ở trên, bản + ở dưới). Trong quá trình chuyển động, êlectron chịu tác dụng của lực điện có độ lớn ....(1).... và hướng ...(2)... Điền vào chỗ trống các cụm từ thích hợp.","(1) biến thiên; (2) thẳng đứng từ dưới lên. B. (1) biến thiên; (2) thẳng đứng từ trên xuống. C. (1) không đổi; (2) thẳng đứng từ dưới lên. D. (1) không đổi; (2) thẳng đứng từ trên xuống.",""
"Câu 16. Thế năng của điện tích trong điện trường đặc trưng cho A. khả năng tác dụng lực của điện trường. B. khả năng sinh công của điện trường C. phương, chiều của cường độ điện trường. D. độ lớn, nhỏ của vùng không gian có điện trường.","",""
"Câu 17. Viết công thức công của lực điện trường khi một điện tích di chuyển từ điểm P đến điểm Q trong điện trường đều và giải thích ý nghĩa các đại lượng?","",""
"Câu 18. Công của lực điện tác dụng lên 1 điện tích điểm q khi di chuyển từ điểm P đến điểm Q trong 1 điện trường thì phụ thuộc và ko phụ thuộc vào yếu tố nào?","",""
"Câu 19. Đại lượng đặc trưng cho điện trường về phương diện tạo ra thế năng khi đặt tại đó một điện tích thử q được gọi là A.lực điện. B. điện thế. C. công của lực điện. D. hiệu điện thế.","",""
"Câu 20. Hai điểm M, N nằm trên cùng một đường sức của 1 điện trường đều có điện thế lần lượt là VM, VN. Hiệu điện thế giữa M, N là UMN. Công thức đúng? A. UMN= UNM. B. UMN=VM – VN. C. UMN=VN – VM. D. A=q/UMN.","",""
"Câu 21. Đặt điện tích q tại điểm M trong điện trường. Nếu tăng điện tích q lên 2 lần thì điện thế tại M A. tăng lên 2 lần. B. giảm đi 2 lần. C. không đổi. D. không xác định được.","",""
"Câu 23. Tụ điện là A. hệ thống hai vật dẫn đặt cách nhau một khoảng đủ xa. B. hệ thống gồm hai vật đặt gần nhau và ngăn cách nhau bằng một lớp cách điện. C. hệ thống gồm 2 vật dẫn đặt gần nhau và ngăn cách nhau bằng 1 lớp cách điện. D. hệ thống gồm 2 vật dẫn đặt tiếp xúc với nhau và được bao bọc bằng điện môi.","",""
"Câu 24. Gọi Q, U lần lượt là điện tích và hiệu điện thế giữa hai bản của một tụ điện. Điện dung của tụ điện được xác định bằng biểu thức: A. Q = CU. B. . C. . D. U = .","",""
"Câu 25. Đơn vị điện dung là: A. Newton (N). B. Coulomb (C). C. Fara (F). D. Vôn (V).","",""
"Câu 26. Một tụ có điện dung 5μF. Khi đặt một hiệu điện thế 10V vào giữa 2 bản của tụ điện. Tính điện lượng","",""
"Câu 27. Bộ tụ điện gồm ba tụ điện: C1 = 5 (μF), C2 = 10 (μF), C3 = 15 (μF). Tính điện dung của bộ tụ điện khi:","Các tụ mắc song song với nhau b. Các tụ mắc nối tiếp với nhau",""
"Câu 28: Hai điện tích điểm q1, q2 khi đặt gần nhau, chúng hút nhau. Kết luận nào sau đây luôn đúng? A. q1 và q2 cùng dấu nhau. B. q1 và q2 đều là điện tích âm. C. q1 và q2 đều là điện tích dương. D. q1 và q2 trái dấu nhau.","",""
"Câu 29: Công thức tính lực tương tác giữa hai điện tích đứng yên trong chân không là công thức nào dưới đây? A. . B. . C. . D.","",""
"Câu 30: Chọn đáp án đúng. Nếu tăng khoảng cách giữa hai điện tích điểm lên 5 lần thì lực tương tác tĩnh điện giữa chúng sẽ: A. tăng lên 5 lần. B. giảm đi 5 lần. C. tăng lên 25 lần. D. giảm đi 25 lần. Câu 31: Chọn câu trả lời sai. Có 4 điện tích điểm M, N, P, Q. Trong đó M hút N nhưng đẩy P, P hút Q. Vậy: A. N đẩy Q. B. M hút Q C. N đẩy P. D. M đẩy P.","",""
